gene_id_name	gene_biotype_name	TYPE	chr	strand	DOG_length	DOG_start_local	DOG_end_local	DOG_start_meta	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	POG_into_upstream_gene	padj	baseMean	pvalue	log2FoldChange	lfcSE	stat	source	length	left_int_length	right_int_length	sample_name	start	end	type
WBGene00021406	protein_coding	DOG	IV	+	400	14926	15326	14926	15326	0	False	False	0	0.999080862006025	705.375	0.8178818247231039	-0.0765039450668959	0.33222983353433805	0.0530243594791955	WormBase	14231	0.0	6567.0	OK80-INP_split	695	14926	gene
WBGene00044467	protein_coding	POG	IV	+	400	2051100	2051500	2051100	2051500	False	0	0	False	0.999080862006025	84.625	0.730968125306362	0.182704016538545	0.531571532601844	0.118224566075298	WormBase	5579	6704.0	0.0	N2-J2-1__split	2051500	2057079	gene
WBGene00020208	protein_coding	DOG	IV	+	200	2235795	2235995	2235795	2235995	0	False	False	0	0.999080862006025	1506.0	0.7503868867739129	-0.109856696225363	0.345303965458149	0.101206228285619	WormBase	12967	0.0	7265.0	OK80-INP_split	2222828	2235795	gene
WBGene00021423	protein_coding	DOG	IV	+	200	2382171	2382371	2382171	2382371	0	False	False	0	0.999080862006025	2353.0	0.79490688472304	-0.0791084439129232	0.304320476628278	0.0675709409125176	WormBase	32900	0.0	1842.0	OK80-INP_split	2349271	2382171	gene
WBGene00200723	ncRNA	DOG	IV	+	200	3168949	3169149	3168949	3169149	0	False	False	0	0.999080862006025	11.375	0.8231347008408871	0.292181366417737	1.30788475917676	0.0499589605424475	WormBase	149	0.0	33384.0	OK80-INP_split	3168800	3168949	gene
WBGene00018325	pseudogene	DOG	IV	+	200	3324950	3325150	3324950	3325150	0	False	False	0	0.999080862006025	1225.75	0.815868909650611	0.0710398156627217	0.305067947486884	0.054224505502134	WormBase	4937	0.0	7227.0	N2WT_INP_split	3320013	3324950	gene
WBGene00023366	pseudogene	DOG	IV	+	200	3589335	3589535	3589335	3589535	0	False	False	0	0.999080862006025	21.0	0.0936586249469654	-1.8188485445111295	1.07348073381904	2.81033826777129	WormBase	72	0.0	17449.0	OK8-J2-3_split	3589263	3589335	gene
WBGene00235373	ncRNA	DOG	IV	+	700	4397925	4398625	4397925	4398625	0	False	False	0	0.999080862006025	528.25	0.681542561332009	0.167272452521706	0.40760236609548	0.168394571951907	WormBase	3515	0.0	24414.0	N2-J2-3__split	4394410	4397925	gene
WBGene00220042	ncRNA	DOG	IV	+	300	4769440	4769740	4769440	4769740	0	False	False	0	0.999080862006025	25.875	0.615725281251293	-0.465662205508785	0.926659245954793	0.25192156713656305	WormBase	96	0.0	2652.0	N2-J2-2__split	4769344	4769440	gene
WBGene00219822	snoRNA	DOG	IV	+	200	6793200	6793400	6793200	6793400	0	False	False	0	0.999080862006025	100.625	0.738706843091133	0.182263016886434	0.546318112874099	0.111266484164837	WormBase	226	0.0	2713.0	OK8-J2-1_split	6792974	6793200	gene
